"","pres","longitude","latitude","optional"
"502",1,1181775.79140982,-4856020.3689072,TRUE
"503",1,1041208.43459376,-4725355.76602658,TRUE
"504",1,1208451.01084068,-4774621.05022854,TRUE
"505",1,1136720.12995015,-4841502.52713629,TRUE
"506",1,1132778.29134816,-4745749.55191666,TRUE
"507",1,1166757.40560131,-4825678.47202671,TRUE
"508",1,1146982.61247012,-4877043.03864768,TRUE
"509",1,1116692.96773672,-4763078.2172576,TRUE
"510",1,1095741.55543819,-4920604.87443362,TRUE
"511",1,1104648.88297878,-4863118.00444226,TRUE
"512",1,1170125.95381742,-4855270.39997991,TRUE
"513",1,1104648.88297878,-4863118.00444226,TRUE
"514",1,1104648.88297878,-4863118.00444226,TRUE
"515",1,1132199.06187263,-4755184.79650026,TRUE
"516",1,1093726.38382827,-4892647.16776474,TRUE
