lat,lon,pres
-42.886675,147.4226406,1
-42.93023044,147.8494041,1
-42.97194389,147.1914515,1
-41.43903385,147.0927688,1
-42.04849117,147.6346694,1
-41.41134006,146.5432335,1
-42.11628925,146.175148,1
-42.74850129,147.4013561,1
-41.72970862,147.3223866,1
-42.81586444,147.786334,1
-42.96002568,147.0511518,1
-41.44346924,148.2695459,1
-43.07622252,147.2789913,1
-41.57311662,147.6982445,1
-42.75640501,147.3288784,1
-42.16870625,147.1381623,1
-43.16915131,147.1923739,1
-41.82214619,147.4252003,1
-41.51834634,146.1812925,1
-41.77423515,147.3687292,1
-42.81464418,147.76709,1
-43.08237862,147.0164866,1
-41.70778672,148.2747812,1
-42.76009956,147.5415471,1
-42.12780522,146.9663044,1
-42.20120171,148.0446763,1
-41.7717061,148.2684543,1
-42.84628683,147.4200521,1
-42.12645144,146.9577997,1
-43.15663338,146.8357339,1
-42.71516632,147.5846811,1
-42.68801696,147.5286158,1
-42.8151702,147.4846835,1
-41.8484933,147.5346694,1
-42.30481432,146.4329138,1
-41.41666,147.1,1
-42.633333,148.05,1
-41.78183324,147.3346692,1
-42.5384652,147.453558,1
-42.71516212,147.4680162,1
-41.7151678,147.0346693,1
-42.91785358,147.3190149,1
-42.7963748,147.1701212,1
-42.71516212,147.4680162,1
-42.78183603,147.0846984,1
-42.8151739,146.9680253,1
-41.52826812,146.9284999,1
-42.78142919,147.5774311,1
-42.66516635,147.5013446,1
-42.13108089,146.2206921,1
-42.74849798,147.7013427,1
-41.99850093,146.8346888,1
-42.69849825,147.5346871,1
-42.11517023,146.8680144,1
-42.31515997,147.9346659,1
-41.5,147.25,1
-41.41112827,147.0670043,1
-42.7484957,147.4180227,1
-42.74850129,147.4013561,1
-42.97807208,146.9490785,1
-42.81710149,147.6619218,1
-41.43,147.1,1
-42.66098422,147.5340117,1
-42.29269719,146.4339566,1
-42.73183973,146.8346973,1
-41.66491211,148.2602418,1
-42.79850491,146.9680339,1
-42.43717761,147.6354767,1
-42.5333,147.2,1
-43.13032233,147.2485004,1
-42.04849366,147.8846589,1
-42.56517445,147.0013645,1
-42.3318272,147.8346661,1
-41.53332,147.46665,1
-42.91221596,147.3223549,1
-43.09850707,147.2180318,1
-42.16516328,147.5013364,1
-41.831832,147.0013488,1
-42.7484967,147.4346893,1
-41.83183525,147.1680008,1
-41.79883198,147.3961577,1
-42.28183099,147.3846758,1
-41.86517731,146.3180221,1
-42.61516348,147.6346741,1
-42.08183155,147.5513377,1
-41.83108459,147.4433238,1
-42.75721453,147.7456429,1
-42.63183256,147.601353,1
-41.79849272,147.3846725,1
-42.94850095,147.3180331,1
-42.75721453,147.7456429,1
-42.58485456,147.9105086,1
-41.76835791,147.574031,1
-42.7651955,147.7142176,1
-42.11516131,147.7180015,1
-41.8758747,148.3040864,1
-42.1101669,146.7553664,1
-43.0110321,147.2019806,1
-43.0110321,147.2019806,1
-42.99850698,147.0013741,1
-41.4463787,147.1090845,1
-41.44997099,147.1198655,1
-42.74849605,147.7513423,1
-42.12833651,146.9660016,1
-41.74295998,147.6086812,1
-42.7484957,147.4180227,1
-42.76301868,147.7181402,1
-42.03284072,146.5579831,1
-41.74850959,146.3346895,1
-43.36228943,147.3265686,1
-41.57,147.63,1
-42.76419452,147.7144383,1
-42.66516215,147.6680195,1
-41.86517731,146.3180221,1
-42.68540748,147.265652,1
-43.07205861,147.018572,1
-42.58182968,148.0513372,1
-41.56834206,146.2405421,1
-41.84488223,148.2564805,1
-42.49849745,147.5013497,1
-41.66516448,147.334665,1
-42.3318272,147.8346661,1
-42.79849705,147.6680213,1
-41.83183525,147.1680008,1
-43.22508396,147.1158968,1
-42.7167,147.15,1
-42.58663608,147.9129719,1
-42.7167,147.15,1
-42.7167,147.15,1
-41.74834856,147.339643,1
-42.98379632,147.0573042,1
-41.73509231,147.3296285,1
-41.82415837,147.4290669,1
-42.76621169,147.8053714,1
-42.7167,147.15,1
-42.6800208,147.2662271,1
-42.35553642,146.4883742,1
-42.44850904,146.6680309,1
-42.58182859,148.0680079,1
-42.49850217,146.8346925,1
-42.90103858,147.292899,1
-41.99850805,146.8680143,1
-41.5669701,148.3014527,1
-41.6569415,147.2451568,1
